String	Translation
This matter is of great importance.	此の{この} 問題 は 迚も{とても} 重要 です
Jim was so tired that he lay down and slept.	は 迚も{とても} 疲れる{疲れていた} ので 横になる{横になって} 眠る{眠った}
The gentleman is a very famous pianist.	其の{その} 紳士 は 大変 有名{有名な} ピアニスト である
It was in Tokyo that I first met her father.	私 が 初めて{はじめて} 彼女{彼女の} 父親 に 会う{会った} の は 東京 で だ{だった}
I like volleyball as well as basketball.	私 は バスケットボール と 同様に バレーボール が 好き です
His paintings seem strange to me.	彼{彼の} 絵 は 私 には 奇妙{奇妙に} 思える
All the best wishes on this wonderful day.	素晴らしい{素晴らしき} 日 を 御{お} 迎え 下さい{ください}
"As a matter of fact, he knows very little of the matter."	実のところ 彼 は 其の{その} 件 に就いて{について} 殆ど{ほとんど} 知る{知らない}
The Inca were religious people.	人 は 信心深い 民族 だ{だった}
He is sick.	彼 は 病気 です
The real estate broker was lavish in his spending in Ginza.	其の{その} 不動産屋 は 銀座 で 気前 良く{よく} 金を使う{金を使った}
"I can't even read French, much less speak it."	フランス語 は 読む 事{こと} さえ 出来る{出来ない} のだ{のです} 況して{まして} 話す 事{こと} 等{など} 迚も{とても} 出来る{出来ません}
"You went to the park yesterday, didn't you?"	貴方{あなた} は 昨日 公園 へ 行く{行きました} ね
The aristocrat clings to the glory of his past.	其の{その} 貴族 は 過去 の 光栄{光栄に} しがみ付く{しがみついている}
These flowers bloom earlier than others do.	此の{この} 花 は 早咲き だ
"I knocked on the door, but nobody answered."	ドア を ノック 為る{して} 見る{みた} が 誰も 居る{いなかった}
We took it for granted that she would take part in the speech contest.	勿論 彼女 は 弁論大会 に 参加 為る{する} と 思う{思った}
I didn't know whether to stay here or go to London.	私 は 此処{ここ} に 止まる{とどまる} 可き{べき} か 倫敦{ロンドン} へ 行く 可き{べき} か 分かる{分からなかった}
He is said to be honest.	彼 は 正直者 だ と言われる{と言われている}
Chop the pickled cabbage finely.	塩漬け キャベツ を 細かい{細かく} 切る
"He understands ideas such as ""same"" and ""different."""	彼 は 同じ とか 違う の{の} 様{ような} 考え を 理解 為る{する}
She always clears the table after a meal.	彼女 は 何時も{いつも} 食事 の 後片付け を 為る{する}
He told his brother the story.	彼 は 其の{その} 話 を 弟 に 為る{した}
It's awfully hot today.	今日 は 凄く{すごく} 暑い
I feel as if I were aboard a great ship.	大船に乗る{大船に乗った} 気持ち が 為る{する}
Your imagination is running away with you.	思いすごし です よ
Hawaii's really the land of milk and honey.	布哇{ハワイ} って 正に{まさに} パラダイス だもの
He is looked up to by all as their leader.	彼 は 指導者 として 皆 に 尊敬 為れる{されている}
I know nothing about her.	彼女 に就いて{について} は 何も 知る{知りません}
"She handed me the basket and suggested I wait until I got home to open it, in case anyone was watching."	彼女 は バスケット を 僕 に 手渡す{手渡し} 誰か が 見る{見ている} と 行けない{いけない} から 家 に 帰る{帰り} 着く 迄{まで} 開ける の を 待つ{待ったら} 如何{どう} か と 言う{言った}
Should I put out my cigarette now?	今 煙草{タバコ} を 消す{消さ} ねばならない{なければならない} のだ{のです} か
There is nothing that does not decay.	朽ちる{朽ちない} 物 は 何もない
He is the greatest singer that ever lived.	彼 は 今まで 最大 の 歌手 だ
He is sure of success in the end.	彼 は 最後 には 成功 為る{する} と 確信 為る{している}
He is older than any other student in his class.	彼 は クラス の 中 で 最年長 に 当たる{あたる}
You learn a lot about your own country if you live abroad.	外国 に 住む と 自分 の 国 の 事{こと} が 良い{良く} 分かる
He is senior to me by three years.	彼 は 私 より 三 才{歳} 年上 だ
"This book is interesting and, what is more, very instructive."	此の{この} 本 は 面白い{おもしろい} その上 非常に 為になる{ためになる}
"Who drives better, your father or your mother?"	お父さん と お母さん と 何方{どちら} が 運転 が 上手 ですか
You are free to do as you please with your money.	君 は 好きなように 君{君の} お金 を 処分 為る{して} 良い{よい}
Everybody was bright at the party.	其の{その} 会 で は 皆{みんな} が 陽気 だ{だった}
This book is fundamental for an understanding of biology.	此の{この} 本 は 生物学 を 理解 為る{する} 基礎 となる 物{もの} だ
This lesson is cancelled tomorrow.	此の{この} 授業 は 明日 休講 です
How about staying with us for a few days?	私たち{私達} の 所 に 数日 泊まる{泊ったら} 如何{いかが} ですか
I have no ear for music.	私 は 音楽 の 事{こと} は 分かる{分かりません}
I have to study Japanese.	私 は 日本語 を 勉強{勉強し} ねばならない{なければなりません}
This is her weak point.	此れ{これ} が 彼女{彼女の} 弱点 です
I've gone and caught a cold.	風邪をひく{風邪を引いて} 仕舞う{しまった}
The other day I went fishing for the first time in my life.	先日 生まれて初めて 魚釣り に 行く{行った}
This matter must be dealt with sooner or later.	此の{この} 問題 は 遅かれ早かれ 片付ける{片づけ} ねばならない
I waited for her for a long time.	私 は 長い間 彼女 を 待つ{待った}
Snow lay all over the ground.	雪 は 辺り{あたり} 一面 に 積もる{積もっていた}
"I know him by sight, but not by name."	私 は 彼 の 顔 は 知る{知っている} が 名前 は 知る{知らない}
He's afraid of the sea.	彼 は 海 を 怖がる
"From the 5th to the 15th of January, please."	一月{１月} 五日{５日} から 一月{１月} 日 迄{まで} お願いします{おねがいします}
This is the cutest baby that I have ever seen.	此れ{これ} は 今まで 見る{見た} 中 で 一番 可愛い{かわいい} 赤ちゃん です
The manufacturing sector is a frenzy over the new monetary policy.	製造 部門 は 新しい 金融 政策 に 動揺 為る{しています}
The mother elephant bathes her baby in the river.	母親 の 象 は 川 の 中 で 小象 の 体 を 洗う{あらって} 遣る{やります}
"Having been convicted of murder, he was sentenced to life imprisonment."	殺人 の 有罪 宣告 を 受ける{受け} 彼 は 終身刑 を 科する{科せられた}
